deprel,occurrences,mean_distance,max_distance
acl,2312,3.21,104
acl:relcl,2520,4.21,59
advcl,5133,7.91,125
advcl:relcl,120,4.78,31
advmod,13982,2.21,84
amod,15618,1.32,16
appos,2793,4.19,42
aux,5181,1.81,34
aux:pass,1153,1.28,16
case,31181,1.91,21
cc,8977,2.62,81
cc:preconj,59,2.42,19
ccomp,2568,5.7,135
compound,6431,1.24,27
compound:prt,2130,1.33,13
conj,13068,9.29,710
cop,4634,2.25,30
csubj,149,5.7,30
csubj:outer,6,9.17,18
csubj:pass,6,11.83,18
dep,202,4.81,122
det,25264,1.43,17
det:predet,497,2.19,5
discourse,1603,3.77,60
dislocated,53,9.74,61
expl,465,1.53,10
fixed,573,1.03,3
flat,6431,1.59,34
goeswith,200,3.44,23
iobj,929,1.11,22
list,206,5.96,46
mark,6067,2.66,134
nmod,12211,3.33,101
nmod:poss,9152,1.6,27
nmod:unmarked,248,3.05,53
nsubj,23189,2.39,165
nsubj:outer,190,10.51,74
nsubj:pass,1074,4.21,59
nummod,1560,1.37,8
obj,13955,2.14,27
obl,14796,4.63,137
obl:agent,451,3.37,13
obl:unmarked,1037,3.55,46
orphan,11,2.45,8
parataxis,3306,9.88,391
punct,50504,5.5,2223
reparandum,100,5.42,32
vocative,750,3.42,24
xcomp,3151,2.36,18
