lemma,global_position,role,deprel,partner_lemma
ulysses,1,head,punct,***
***,2,dependent,punct,ulysses
[,3,dependent,punct,illustration
illustration,4,head,punct,[
illustration,4,head,punct,]
],5,dependent,punct,illustration
by,7,dependent,case,james
james,8,head,case,by
james,8,head,flat,joyce
joyce,9,dependent,flat,james
—,11,dependent,punct,i
i,12,head,punct,—
i,12,head,punct,—
—,13,dependent,punct,i
[,14,dependent,punct,1
1,15,head,punct,[
1,15,head,punct,]
1,15,head,dep,2
1,15,head,conj,3
],16,dependent,punct,1
[,17,dependent,punct,2
2,18,dependent,dep,1
2,18,head,punct,[
2,18,head,punct,]
],19,dependent,punct,2
[,20,dependent,punct,3
3,21,dependent,conj,1
3,21,head,punct,[
3,21,head,punct,]
],22,dependent,punct,3
—,23,dependent,punct,ii
ii,24,head,punct,—
ii,24,head,punct,—
—,25,dependent,punct,ii
[,26,dependent,punct,4
4,27,head,punct,[
4,27,head,punct,]
4,27,head,dep,5
4,27,head,dep,6
4,27,head,dep,7
4,27,head,dep,8
4,27,head,dep,9
4,27,head,dep,10
4,27,head,dep,11
4,27,head,dep,12
4,27,head,dep,13
4,27,head,dep,14
4,27,head,dep,15
],28,dependent,punct,4
[,29,dependent,punct,5
5,30,dependent,dep,4
5,30,head,punct,[
5,30,head,punct,]
],31,dependent,punct,5
[,32,dependent,punct,6
6,33,dependent,dep,4
6,33,head,punct,[
6,33,head,punct,]
],34,dependent,punct,6
[,35,dependent,punct,7
7,36,dependent,dep,4
7,36,head,punct,[
7,36,head,punct,]
],37,dependent,punct,7
[,38,dependent,punct,8
8,39,dependent,dep,4
8,39,head,punct,[
8,39,head,punct,]
],40,dependent,punct,8
[,41,dependent,punct,9
9,42,dependent,dep,4
9,42,head,punct,[
9,42,head,punct,]
],43,dependent,punct,9
[,44,dependent,punct,10
10,45,dependent,dep,4
10,45,head,punct,[
10,45,head,punct,]
],46,dependent,punct,10
[,47,dependent,punct,11
11,48,dependent,dep,4
11,48,head,punct,[
11,48,head,punct,]
],49,dependent,punct,11
[,50,dependent,punct,12
12,51,dependent,dep,4
12,51,head,punct,[
12,51,head,punct,]
],52,dependent,punct,12
[,53,dependent,punct,13
13,54,dependent,dep,4
13,54,head,punct,[
13,54,head,punct,]
],55,dependent,punct,13
[,56,dependent,punct,14
14,57,dependent,dep,4
14,57,head,punct,[
14,57,head,punct,]
],58,dependent,punct,14
[,59,dependent,punct,15
15,60,dependent,dep,4
15,60,head,punct,[
15,60,head,punct,]
],61,dependent,punct,15
—,62,dependent,punct,iii
iii,63,head,punct,—
iii,63,head,punct,—
—,64,dependent,punct,iii
[,65,dependent,punct,16
16,66,head,punct,[
16,66,head,punct,]
16,66,head,dep,17
16,66,head,conj,18
],67,dependent,punct,16
[,68,dependent,punct,17
17,69,dependent,dep,16
17,69,head,punct,[
17,69,head,punct,]
],70,dependent,punct,17
[,71,dependent,punct,18
18,72,dependent,conj,16
18,72,head,punct,[
18,72,head,punct,]
],73,dependent,punct,18
—,74,dependent,punct,i
i,75,head,punct,—
i,75,head,punct,—
—,76,dependent,punct,i
[,77,dependent,punct,1
1,78,head,punct,[
1,78,head,punct,]
],79,dependent,punct,1
stately,80,dependent,advmod,come
stately,80,head,punct,","
",",81,dependent,punct,stately
plump,82,dependent,amod,buck
buck,83,dependent,nsubj,come
buck,83,head,amod,plump
buck,83,head,flat,mulligan
mulligan,84,dependent,flat,buck
come,85,head,advmod,stately
come,85,head,nsubj,buck
come,85,head,obl,stairhead
come,85,head,advcl,bear
come,85,head,punct,.
from,86,dependent,case,stairhead
the,87,dependent,det,stairhead
stairhead,88,dependent,obl,come
stairhead,88,head,case,from
stairhead,88,head,det,the
",",89,dependent,punct,bear
bear,90,dependent,advcl,come
bear,90,head,punct,","
bear,90,head,obj,bowl
a,91,dependent,det,bowl
bowl,92,dependent,obj,bear
bowl,92,head,det,a
bowl,92,head,nmod,lather
bowl,92,head,acl:relcl,cross
of,93,dependent,case,lather
lather,94,dependent,nmod,bowl
lather,94,head,case,of
on,95,dependent,case,which
which,96,dependent,obl,cross
which,96,head,case,on
a,97,dependent,det,mirror
mirror,98,dependent,nsubj:pass,cross
mirror,98,head,det,a
