lemma,frequency,mean_pairwise_distance,head_count,dependent_count
ulysses,6,131116.67,13,4
[,40,94209.53,0,40
illustration,6,149902.47,11,1
],40,94209.53,0,40
by,1267,103507.95,15,1267
james,34,96840.01,68,33
content,5,126146.0,5,4
—,2358,70437.05,1,2358
i,4002,122506.19,488,3961
1,63,33349.36,37,61
2,54,42508.46,20,53
3,22,65462.02,9,21
4,23,90196.07,25,21
5,36,50620.54,19,35
6,17,72422.47,21,15
7,12,113718.44,7,11
8,14,91858.57,23,13
9,16,80338.34,10,15
10,23,60431.04,21,22
11,15,118344.06,13,14
12,7,128120.19,9,6
13,7,121335.52,5,6
14,10,98977.69,5,9
15,16,87249.72,18,14
16,12,89858.67,11,9
17,7,125624.57,21,5
18,6,107327.8,4,5
stately,3,62559.33,2,3
",",16361,101725.92,0,16361
plump,23,119421.63,35,18
buck,117,59607.09,159,113
mulligan,163,76922.5,22,160
come,647,108180.92,2346,348
from,1087,108742.7,8,1087
the,14953,108121.94,105,14944
stairhead,3,1967.33,4,3
bear,152,102359.83,457,116
a,7112,106849.76,26,7111
bowl,17,99345.71,41,16
of,8158,105778.1,190,8154
lather,7,129951.52,16,7
on,2113,111276.13,85,2104
which,518,82914.14,230,515
mirror,48,119621.0,107,43
and,7213,103297.03,185,7212
razor,8,134747.96,15,8
lay,132,100177.79,501,68
cross,65,109194.46,163,47
.,19667,90767.1,0,19667
yellow,51,114624.3,26,50
be,7290,104494.92,2220,7022
sustain,13,133938.51,33,9
gently,38,91074.3,9,38
behind,144,109191.89,16,141
he,5793,112262.97,936,5759
mild,12,102315.38,13,12
morning,119,127463.36,222,107
air,121,104376.82,261,111
hold,180,93497.93,656,114
aloft,5,123217.2,1,5
:,2562,99683.28,0,2562
ad,43,96811.99,81,37
halt,48,76679.82,140,18
peer,32,106118.75,111,22
down,452,115383.93,105,442
dark,136,104842.61,101,132
wind,83,102309.88,190,73
stair,18,139529.1,49,18
call,258,106718.02,921,161
out,898,116084.38,270,887
up,827,115397.08,219,804
kinch,30,61497.68,41,24
!,1468,84002.6,0,1468
you,2021,104568.4,356,1996
jesuit,11,136481.67,16,9
solemnly,11,118101.93,10,11
forward,75,97835.84,12,73
mount,28,95865.56,57,22
round,249,108664.31,126,239
gunrest,4,374.83,7,4
face,272,110883.27,662,248
about,534,115268.28,56,528
bless,56,91748.94,123,42
gravely,21,73816.9,5,21
thrice,4,104904.17,3,4
tower,28,105345.02,58,26
surround,7,129197.24,18,5
land,97,98990.17,290,87
awake,8,156846.61,21,8
mountain,28,117933.33,49,27
then,578,116541.26,79,574
