Word,Frequency
the,4199
and,2675
of,1892
a,1744
to,1521
in,836
it,791
he,689
that,634
wa,577
they,499
his,439
on,439
with,435
i,423
had,393
said,383
out,377
trench,362
but,356
for,345
their,343
s,337
were,328
them,323
at,315
or,294
you,292
there,289
one,277
up,272
from,260
shell,255
kentucky,254
an,253
pug,244
down,238
over,230
be,221
by,212
men,212
t,203
into,200
line,195
we,195
him,176
this,172
is,165
back,163
all,162
gun,154
fire,154
some,152
again,150
along,149
if,147
been,142
no,139
ground,135
not,133
about,132
more,129
larry,128
have,126
other,126
german,125
could,123
another,123
when,120
so,120
man,116
time,115
officer,115
two,112
see,111
which,109
came,108
rifle,100
what,98
front,97
where,97
bullet,96
stonewalls,96
then,96
any,93
now,93
u,91
who,90
little,90
would,89
here,88
come,88
right,86
get,85
re,83
after,82
just,81
side,81
still,81
than,78
like,78
off,78
half,77
through,76
me,75
m,75
hole,75
are,73
too,73
minute,73
smoke,71
ll,71
look,70
last,70
broken,70
head,70
go,70
across,69
long,68
first,67
ve,67
others,66
open,66
attack,65
parapet,65
o,65
left,65
way,65
close,64
many,64
before,63
round,63
hand,63
burst,63
moment,62
only,61
three,61
can,61
good,60
saw,60
d,60
don,60
billy,59
our,58
machine,58
above,58
forward,57
bit,56
know,56
got,55
these,55
few,54
most,54
enough,53
well,53
each,53
much,52
began,52
every,52
did,52
because,52
made,51
wire,51
em,51
my,50
stretcher,50
how,49
grenade,49
cover,49
word,48
himself,48
went,48
wall,48
ran,48
until,47
without,47
order,47
suddenly,46
thought,46
going,46
heavy,46
earth,46
shot,46
heard,44
under,44
very,43
do,43
same,43
chance,43
might,42
almost,42
looked,42
think,42
ha,40
british,40
past,40
simson,40
couple,40
rush,40
edge,39
knew,39
four,39
dug,39
even,38
next,38
upon,38
whole,38
wounded,38
being,37
position,37
foot,37
took,37
away,37
bomb,37
those,36
hour,36
tell,36
eye,36
moved,36
must,36
behind,36
own,35
battle,35
running,35
nothing,35
fell,35
firing,35
keep,35
rose,35
themselves,35
bearer,35
crater,35
thing,34
make,34
will,34
place,34
further,34
helmet,34
although,34
told,34
battalion,34
passed,34
take,33
your,33
yard,33
beside,33
while,32
near,32
dropped,32
gunner,32
voice,32
ere,32
face,32
pit,32
e,31
company,31
say,31
never,31
full,31
crash,31
move,31
clear,31
quick,31
light,31
second,31
sound,31
lot,31
day,30
seen,30
towards,30
village,30
figure,30
quite,30
lay,30
run,30
both,29
beyond,29
turn,29
find,29
found,29
sight,29
turned,29
portion,28
give,28
end,28
dozen,28
stood,28
deep,28
communication,28
dead,28
mud,28
work,27
hundred,27
top,27
air,27
asked,27
sir,27
battery,27
presently,27
against,27
whether,27
instant,27
mind,27
sure,27
held,27
im,27
old,26
appeared,26
let,26
c,26
fragment,26
pushed,26
yer,26
doctor,26
such,25
gave,25
set,25
show,25
part,25
halted,25
high,25
shouted,25
followed,25
rolling,25
sharp,24
taken,24
point,24
night,24
amongst,24
continued,24
shooting,24
didn,24
yet,24
quickly,24
caught,24
why,24
stopped,24
between,23
fighting,23
done,23
artillery,23
moving,23
far,23
kentuck,23
target,23
wot,23
slowly,23
new,22
shoulder,22
le,22
casualty,22
call,22
road,22
heap,22
shrapnel,22
goin,22
falling,22
ear,22
piece,22
