Word,Frequency
said,383
trench,362
up,272
shell,255
down,238
back,163
ground,135
time,115
front,97
then,96
after,82
side,81
off,78
like,78
half,77
head,70
long,68
open,66
left,65
round,63
burst,63
saw,60
don,60
good,60
above,58
machine,58
forward,57
wire,51
em,51
grenade,49
without,47
same,43
might,42
think,42
couple,40
edge,39
wounded,38
eye,36
crater,35
firing,35
make,34
battalion,34
take,33
pit,32
near,32
voice,32
clear,31
sound,31
say,31
full,31
quick,31
lay,30
sight,29
dead,28
presently,27
air,27
high,25
part,25
amongst,24
between,23
moving,23
artillery,23
low,22
heap,22
shoulder,22
sergeant,21
overhead,21
ready,21
torn,21
field,21
infantry,20
wet,20
passing,20
push,20
group,20
whistle,19
number,19
hastily,18
shelter,18
coming,18
waiting,18
shout,18
wait,18
repeated,17
flying,17
flash,17
great,17
rear,17
stream,16
pick,16
narrow,16
called,15
explosive,15
ambulance,14
scattered,14
advancing,14
bandage,14
roar,14
shoot,14
bad,14
dressing,14
traverse,14
level,14
thin,13
cartridge,13
swift,13
fallen,13
best,12
hurt,12
dust,11
raised,11
upward,11
evidently,11
bolt,11
interest,11
string,11
glimpse,10
silence,10
remains,10
empty,10
wide,10
station,10
ammunition,10
haze,10
chick,10
pace,10
succession,9
mighty,9
boot,9
rising,9
cautiously,9
try,9
swiftly,9
verse,9
attacker,9
hail,9
water,9
twisted,9
occupied,9
fit,9
flank,9
thrust,9
orderly,8
bank,8
bill,8
promptly,8
least,8
finished,8
service,8
oath,8
space,8
telephone,8
reason,8
slow,8
grip,8
hurry,7
inside,7
crest,7
storm,7
aside,7
cutting,7
sweep,7
box,7
book,7
progress,7
crossing,7
mist,7
camp,7
clip,7
private,7
tangle,7
row,7
certainty,7
lord,7
sentence,7
thunder,7
hymn,7
ditch,7
pointed,7
motion,7
exposed,7
mine,6
reduced,6
listening,6
groan,6
shriek,6
strap,6
fling,6
fancy,6
opposing,6
accepted,6
throughout,6
chorus,6
tin,6
singing,6
amount,6
hiss,6
usual,6
haven,6
kind,6
opposite,6
reply,6
