Word,Frequency
in,836
his,439
out,377
up,272
down,238
over,230
gun,154
man,116
front,97
hole,75
minute,73
left,65
close,64
saw,60
forward,57
well,53
stretcher,50
going,46
even,38
away,37
must,36
bearer,35
further,34
gunner,32
sound,31
say,31
find,29
shrapnel,22
looking,22
piece,22
heap,22
falling,22
overhead,21
spoke,21
ready,21
cloud,21
gray,21
better,21
course,20
game,19
wrath,19
felt,18
rapid,16
taking,16
want,16
case,16
lying,16
busy,15
corner,14
hurriedly,14
barbed,14
safe,13
thick,13
anyhow,13
fair,12
marching,11
uproar,11
finger,11
muzzle,11
regiment,11
plenty,11
bombardment,11
splinter,11
broke,10
khaki,10
constant,10
cheerfully,10
certain,10
roaring,9
faint,9
haste,9
bare,9
anxiously,9
bunch,9
hail,9
yell,9
shattered,9
patch,9
party,9
slope,8
journey,8
rough,8
shadow,8
distance,8
flat,8
buried,8
steady,8
savage,8
missed,8
weight,8
shrill,8
mill,7
blinding,7
mouth,7
charging,7
pink,7
driving,7
horribly,7
wanted,7
knowing,7
private,7
pepper,7
loose,7
showing,7
tangle,7
barricade,7
thunder,7
ditch,7
mate,6
appalling,6
groan,6
regular,6
shriek,6
quicker,6
exclamation,6
fancy,6
approaching,6
bore,6
dugout,6
led,6
doe,6
hiss,6
unbroken,6
author,6
tone,6
quiet,6
muffled,6
opposite,6
torrent,6
calling,6
spurt,6
smack,6
duel,6
content,6
starboard,6
wrong,6
trumpet,5
spent,5
jumble,5
upwards,5
steep,5
crumbling,5
carrying,5
ruined,5
exact,5
flickering,5
gust,5
collected,5
engaged,5
thud,5
rounded,5
covering,5
clamor,5
sloping,5
driven,5
angle,5
thump,5
pouring,5
stairway,4
hanging,4
drumming,4
forgotten,4
rumble,4
recognized,4
gush,4
read,4
ration,4
speaking,4
scrap,4
band,4
comparatively,4
gasp,4
mouthful,4
trailing,4
relieved,4
queer,4
farm,4
stored,4
asking,4
whirlwind,4
double,4
rumor,4
major,4
astonishment,4
turning,4
holding,4
hedge,4
chap,4
reek,4
butt,4
rushing,4
rattle,4
lookout,4
solid,4
linked,4
swinging,3
stir,3
mechanically,3
strand,3
suggested,3
kill,3
scuttle,3
thrilling,3
flower,3
equal,3
telling,3
flannel,3
slit,3
flaming,3
perspiration,3
snug,3
pipe,3
whine,3
father,3
innumerable,3
toad,3
beaten,3
cool,3
dew,3
save,3
buff,3
jumping,3
shifting,3
cart,3
material,3
lump,3
branch,3
miss,3
failing,3
extra,3
fitting,3
obedience,3
loop,3
screech,3
howl,3
spade,3
boiled,3
concentrated,3
creep,3
twisting,3
spotted,3
stump,3
blank,3
din,3
inaction,3
spreading,3
slam,3
momentary,3
bag,3
smoked,3
school,3
completed,3
hip,3
hasty,3
crackle,3
born,3
weakly,3
grimly,3
leafy,2
shredded,2
beggar,2
violet,2
patent,2
piping,2
drone,2
irritating,2
alternately,2
spoken,2
ferocious,2
dazed,2
unheard,2
blanket,2
shaped,2
acknowledgment,2
ill,2
routine,2
stiffly,2
vain,2
gleam,2
blackness,2
pocket,2
seated,2
downward,2
dispatch,2
horseshoe,2
uneasily,2
strenuous,2
wearily,2
layer,2
sinking,2
disgusted,2
returning,2
prompt,2
watchful,2
uncomfortably,2
crumpled,2
concealed,2
concussion,2
tumultuous,2
looming,2
digging,2
outward,2
special,2
prize,2
following,2
coil,2
flag,2
flop,2
misty,2
annoyance,2
squat,2
fateful,2
gaping,2
cork,2
overture,2
winding,2
earthly,2
wiring,2
laden,2
caterpillar,2
stern,2
gutter,2
brown,2
glistening,2
ringing,2
gathered,2
dimly,2
coveted,2
learned,2
keenly,2
deafening,2
limp,2
steamer,2
outright,2
semblance,2
tunic,2
deliberate,2
detached,2
snap,2
expressed,2
wasted,2
locality,2
rescuer,2
sailing,2
intimate,2
victor,2
prehistoric,2
utmost,2
pane,2
clatter,2
wail,2
vanishing,2
stagnant,2
imperative,2
leisurely,2
separated,2
briskly,2
sore,2
upstairs,2
boon,2
instinctive,2
dull,2
righteous,2
pride,2
diving,2
squeak,2
sweet,2
faraway,1
solidly,1
mite,1
pointedly,1
inspiring,1
dweller,1
coolly,1
squeeze,1
cooker,1
plunge,1
discipline,1
garrison,1
outstretched,1
sickly,1
exceedingly,1
unmistakable,1
connected,1
detour,1
soaked,1
purposeful,1
calculated,1
condition,1
mounting,1
eater,1
fuse,1
decorated,1
conundrum,1
biting,1
playfully,1
rocking,1
gape,1
amen,1
claw,1
precept,1
hazy,1
mouthpiece,1
gruesome,1
gladly,1
earned,1
incompetence,1
lug,1
chuckle,1
landslide,1
crop,1
vista,1
armpit,1
adjusted,1
glean,1
buzzer,1
unavoidable,1
drum,1
dialect,1
masked,1
snake,1
birthplace,1
shade,1
observed,1
changed,1
hind,1
pitfall,1
grace,1
fume,1
launching,1
concerted,1
lull,1
stricken,1
picturesque,1
finishing,1
slay,1
bellow,1
enthusiastically,1
hectic,1
ordering,1
steamed,1
parked,1
feverish,1
airy,1
unprotected,1
ghastly,1
nice,1
sullen,1
spit,1
imagined,1
gale,1
moan,1
pity,1
melting,1
balancing,1
chain,1
anew,1
expert,1
gravely,1
sarcastic,1
suffering,1
optic,1
startled,1
explanatory,1
bosom,1
borrowing,1
reckoning,1
dripping,1
penetrating,1
delayed,1
expressly,1
veneer,1
nervousness,1
grinding,1
pungent,1
cove,1
iron,1
fumble,1
perpendicular,1
onslaught,1
bruised,1
chatter,1
gulp,1
errand,1
pool,1
backward,1
onward,1
detachment,1
pang,1
crumple,1
brave,1
pop,1
commencement,1
eagerness,1
coarsely,1
miserably,1
hive,1
squirm,1
instantaneous,1
flick,1
rung,1
buck,1
appointed,1
tidy,1
aye,1
pitching,1
rejoin,1
crimson,1
securely,1
hopelessly,1
damned,1
careless,1
blindly,1
veiled,1
swallow,1
numb,1
frontal,1
hugely,1
purposely,1
thoughtfully,1
adopted,1
pumping,1
obliterate,1
beleaguered,1
strained,1
legion,1
triumph,1
pad,1
juncture,1
excitedly,1
gully,1
likeness,1
softness,1
assisted,1
precedence,1
diminishing,1
defending,1
original,1
philippine,1
grotesque,1
triple,1
pardon,1
censor,1
unfit,1
mend,1
fuss,1
sow,1
preparatory,1
stench,1
dagger,1
scrape,1
swarm,1
methodically,1
whipped,1
slouch,1
aching,1
wriggle,1
upside,1
decorator,1
undue,1
sunken,1
neutrality,1
medley,1
blot,1
murderous,1
sheltered,1
idly,1
impatiently,1
serpent,1
disobedience,1
apparition,1
yarn,1
crevice,1
whiff,1
squeal,1
alongside,1
helplessness,1
duly,1
replenish,1
skirt,1
glint,1
junior,1
clot,1
defect,1
wag,1
questioning,1
fret,1
wrench,1
alert,1
sprinkler,1
promised,1
melted,1
hitch,1
liking,1
thirst,1
upright,1
spasm,1
converted,1
ludicrous,1
feeder,1
rake,1
doorstep,1
tenderness,1
alike,1
deck,1
destroyer,1
impossibly,1
cheaply,1
punishing,1
accent,1
trickle,1
worn,1
chilled,1
decay,1
stirring,1
damn,1
glimmer,1
melodrama,1
awakening,1
jack,1
nest,1
unwind,1
waking,1
mysteriously,1
y,1
majesty,1
grinning,1
frequent,1
cessation,1
serum,1
muck,1
triumphant,1
stout,1
marking,1
breathless,1
checking,1
dormant,1
astonished,1
star,1
consent,1
thankfully,1
foul,1
winged,1
whimper,1
acclaimed,1
glee,1
phase,1
thirsty,1
coward,1
thumb,1
packing,1
weed,1
assured,1
stoop,1
intolerable,1
fanatic,1
misgiving,1
hoarse,1
noted,1
helplessly,1
bent,1
beaded,1
barrage,1
saloon,1

# 词表,COCA_20000_part3
# 交集独特词数占词表比例,13.46%
# 交集独特词数占文本比例,12.64%
