Word,Frequency
in,836
his,439
out,377
up,272
down,238
over,230
gun,154
man,116
front,97
hole,75
minute,73
left,65
close,64
saw,60
forward,57
well,53
stretcher,50
going,46
even,38
away,37
must,36
bearer,35
further,34
gunner,32
sound,31
say,31
find,29
looking,22
piece,22
heap,22
falling,22
shrapnel,22
overhead,21
gray,21
spoke,21
ready,21
cloud,21
better,21
course,20
game,19
wrath,19
felt,18
case,16
want,16
rapid,16
lying,16
taking,16
busy,15
barbed,14
corner,14
hurriedly,14
thick,13
anyhow,13
safe,13
fair,12
marching,11
regiment,11
uproar,11
bombardment,11
plenty,11
splinter,11
muzzle,11
finger,11

# 高频交集词汇数占词表比例,1.28%
# 词表,COCA_20000_part3
