word,frequency
accelerate,0
accommodate,0
accomplish,0
accountability,0
acquire,0
activist,0
adapt,0
adequate,0
adjust,0
adjustment,0
administration,0
administrative,0
administrator,0
adolescent,0
adopt,0
adoption,0
adult,0
advise,0
aesthetic,0
african-american,0
afterward,0
aggression,0
aggressive,0
agricultural,0
aide,0
aircraft,0
airline,0
airplane,0
airport,0
alike,0
allegedly,0
alliance,0
aluminum,0
ambassador,0
analyst,0
analyze,0
anticipate,0
anymore,0
apologize,0
appoint,0
approve,0
approximately,0
arrange,0
array,0
articulate,0
artifact,0
asian,0
assemble,0
assessment,0
assign,0
assumption,0
assure,0
athletic,0
attach,0
authorize,0
auto,0
automatically,0
automobile,0
availability,0
award,0
awareness,0
backyard,0
bake,0
balanced,0
ballot,0
banker,0
bankruptcy,0
barrier,0
baseball,0
basement,0
basic,0
basically,0
basketball,0
behavior,0
behavioral,0
betray,0
bike,0
biography,0
biological,0
biology,0
bizarre,0
blink,0
bomber,0
bombing,0
boost,0
boring,0
boyfriend,0
broadcast,0
buddy,0
bureau,0
bureaucracy,0
buyer,0
cabin,0
campus,0
cancel,0
candy,0
capability,0
carbohydrate,0
carrier,0
catalog,0
celebration,0
center,0
ceo,0
challenging,0
championship,0
chaos,0
characterize,0
chef,0
cholesterol,0
chopped,0
citizenship,0
civilization,0
classify,0
classroom,0
clinic,0
clinical,0
closest,0
coalition,0
coastal,0
cocaine,0
cognitive,0
collaboration,0
collect,0
colorful,0
columnist,0
commitment,0
comparable,0
compel,0
compelling,0
compete,0
competitive,0
competitor,0
complexity,0
compliance,0
compose,0
comprise,0
compromise,0
computer,0
concept,0
condemn,0
conference,0
confirm,0
confrontation,0
congressional,0
consensus,0
conservative,0
consistency,0
constitute,0
consultant,0
consume,0
consumer,0
container,0
contest,0
context,0
contribute,0
controversial,0
convict,0
cookie,0
cooperate,0
coordinate,0
coordinator,0
corporate,0
correctly,0
correlation,0
correspondent,0
costly,0
counseling,0
counselor,0
counterpart,0
courtroom,0
coverage,0
creative,0
creativity,0
credibility,0
crisis,0
criterion,0
critic,0
criticism,0
criticize,0
critique,0
cuban,0
cue,0
cultural,0
currency,0
currently,0
database,0
deadline,0
debris,0
debut,0
decade,0
decorate,0
dedicate,0
deem,0
deer,0
defense,0
defensive,0
deficit,0
define,0
definitely,0
delay,0
democracy,0
democrat,0
demographic,0
demonstrate,0
dependent,0
depending,0
depression,0
derive,0
descend,0
designer,0
destroy,0
detailed,0
detect,0
determine,0
devastating,0
develop,0
developer,0
developmental,0
diabetes,0
diagnose,0
diagnosis,0
diary,0
diminish,0
diplomat,0
diplomatic,0
disability,0
disagree,0
disappointment,0
discount,0
discourage,0
discrimination,0
distract,0
distribution,0
diverse,0
diversity,0
dna,0
documentary,0
dominate,0
downtown,0
drama,0
dramatically,0
driveway,0
dynamic,0
e-mail,0
earnings,0
ecological,0
economically,0
economist,0
ecosystem,0
edit,0
educate,0
educator,0
effectiveness,0
efficiency,0
election,0
electronic,0
electronics,0
elementary,0
elevator,0
eligible,0
eliminate,0
elite,0
emerge,0
emerging,0
emission,0
emotional,0
emotionally,0
emphasize,0
employee,0
employer,0
enact,0
endorse,0
endure,0
enforce,0
enforcement,0
engineering,0
enhance,0
enroll,0
ensure,0
entitle,0
entrepreneur,0
environment,0
environmental,0
envision,0
episode,0
equip,0
equipment,0
equity,0
essential,0
essentially,0
establish,0
estimated,0
ethic,0
ethnic,0
evaluate,0
evaluation,0
evolve,0
exact,0
exam,0
exceed,0
exclude,0
executive,0
expand,0
expedition,0
experimental,0
expertise,0
explicit,0
explode,0
exploration,0
explore,0
fantastic,0
favor,0
favorable,0
favorite,0
federal,0
feedback,0
festival,0
fewer,0
fiber,0
fighter,0
film,0
fiscal,0
fishing,0
flavor,0
flee,0
flexible,0
flip,0
forever,0
formal,0
format,0
formula,0
forum,0
founder,0
fragile,0
framework,0
franchise,0
freshman,0
frontier,0
full-time,0
functional,0
funding,0
garage,0
gasoline,0
gender,0
gene,0
generate,0
genetic,0
genre,0
girlfriend,0
global,0
gop,0
govern,0
graduation,0
grandchild,0
grandparent,0
guideline,0
guilt,0
habitat,0
harassment,0
hardware,0
headquarters,0
heal,0
helicopter,0
helpful,0
heritage,0
high-tech,0
highlight,0
hike,0
hispanic,0
homeland,0
homework,0
honor,0
hopefully,0
hormone,0
hostile,0
housing,0
huh,0
humor,0
icon,0
identify,0
ideological,0
ideology,0
ie,0
immigration,0
implementation,0
imply,0
import,0
importantly,0
impose,0
include,0
incorporate,0
indicate,0
indigenous,0
infection,0
inflation,0
informal,0
infrastructure,0
initiate,0
initiative,0
injure,0
innovation,0
innovative,0
input,0
inquiry,0
insight,0
inspire,0
install,0
installation,0
institutional,0
instructional,0
instructor,0
intact,0
integrate,0
integrated,0
integration,0
intensive,0
interact,0
interaction,0
interactive,0
interfere,0
internet,0
interrupt,0
intervention,0
invade,0
invasion,0
inventory,0
investigate,0
investigator,0
investment,0
investor,0
involve,0
involvement,0
iranian,0
iraqi,0
ironically,0
irony,0
islam,0
islamic,0
isolate,0
israeli,0
jazz,0
jewelry,0
jurisdiction,0
korean,0
lab,0
labor,0
laboratory,0
landmark,0
laser,0
lawmaker,0
lawsuit,0
leadership,0
legacy,0
legally,0
legislation,0
legislative,0
legislator,0
legislature,0
license,0
lifestyle,0
likelihood,0
lobby,0
locate,0
location,0
log,0
logic,0
long-term,0
longtime,0
loser,0
magazine,0
mainstream,0
makeup,0
mandate,0
manipulate,0
marine,0
marker,0
marketing,0
marketplace,0
math,0
mathematics,0
meaningful,0
mechanism,0
medication,0
membership,0
metaphor,0
mexican,0
middle-class,0
minimal,0
minimize,0
ministry,0
minority,0
mm-hmm,0
modify,0
mom,0
momentum,0
motivate,0
motivation,0
movie,0
musician,0
muslim,0
nationwide,0
nearby,0
negotiate,0
negotiation,0
neighbor,0
neighborhood,0
neighboring,0
network,0
neutral,0
nomination,0
nominee,0
nonetheless,0
nonprofit,0
norm,0
nuclear,0
nutrient,0
offense,0
officially,0
oh,0
okay,0
old-fashioned,0
olympic,0
olympics,0
one-third,0
ongoing,0
online,0
onto,0
operate,0
operator,0
oppose,0
opposed,0
opt,0
optimistic,0
organization,0
organizational,0
organize,0
organized,0
orientation,0
outcome,0
outfit,0
output,0
outstanding,0
overnight,0
oversee,0
overwhelm,0
overwhelming,0
ownership,0
package,0
palestinian,0
panic,0
parental,0
parking,0
participant,0
participation,0
partnership,0
pasta,0
patrol,0
pc,0
peanut,0
pension,0
perception,0
performer,0
persian,0
personnel,0
perspective,0
philosophical,0
physically,0
pickup,0
pioneer,0
pizza,0
placement,0
plaintiff,0
planner,0
playoff,0
plead,0
pm,0
politically,0
pollution,0
pond,0
popularity,0
portray,0
potentially,0
predator,0
predict,0
presidency,0
prevail,0
primarily,0
priority,0
procedure,0
processing,0
processor,0
producer,0
productivity,0
program,0
programming,0
prohibit,0
promote,0
promotion,0
prosecution,0
prosecutor,0
protective,0
protocol,0
provider,0
provision,0
psychological,0
psychologist,0
psychology,0
publisher,0
qualify,0
quarterback,0
questionnaire,0
racism,0
radar,0
radiation,0
radio,0
railroad,0
rally,0
ranch,0
rating,0
react,0
readily,0
realistic,0
realize,0
rebuild,0
recognize,0
recommendation,0
recording,0
recruit,0
reduction,0
refer,0
refugee,0
regain,0
regime,0
regional,0
regulate,0
regulatory,0
rehabilitation,0
reinforce,0
reject,0
relationship,0
reliability,0
reminder,0
replace,0
replacement,0
reportedly,0
