word,frequency
said,1208
bloom,1000
up,827
like,748
say,738
then,577
time,457
down,453
eye,447
after,428
off,370
back,365
good,331
head,252
round,244
long,240
make,218
voice,204
don,204
take,180
might,176
think,170
same,168
left,166
saw,160
water,157
lord,157
without,138
high,135
between,133
best,131
side,131
great,127
half,125
wait,124
dead,123
coming,122
air,120
kind,116
open,115
near,115
book,103
full,102
power,100
gold,93
bad,90
master,89
called,88
dear,83
part,81
private,77
saint,76
cry,76
forward,75
lay,73
boot,70
bob,68
number,67
fine,66
shoulder,65
talking,63
waiting,61
brown,59
tap,58
saying,58
large,57
blind,57
trouser,56
thou,55
try,55
live,54
quick,53
present,53
passing,52
sitting,52
eh,52
bridge,52
mine,51
cap,51
court,50
yellow,50
skin,49
pair,48
mirror,48
low,47
field,46
blessed,46
blaze,46
sailor,45
making,45
turning,45
bar,44
inside,44
reason,44
per,44
damn,44
least,44
above,43
prince,43
jack,42
sound,42
square,42
crown,42
whore,42
key,41
rich,41
carriage,41
row,40
wear,39
throw,39
holding,39
front,39
smiling,38
ground,38
save,38
slow,37
pity,37
reverend,36
grave,36
double,36
singing,36
stuck,36
sight,36
raised,35
silence,35
opposite,33
handkerchief,33
hate,33
paid,33
draw,33
usual,32
fool,32
aside,32
chair,32
wet,32
shut,31
subject,31
space,31
common,31
coffin,31
brow,31
ward,30
coat,30
loudly,30
bank,30
rising,30
fashion,30
hanging,29
knock,29
bend,29
loved,29
greek,28
shake,28
kidney,28
shell,28
railway,27
shout,27
pin,27
bearing,27
kick,27
mourning,26
bill,26
bald,26
sigh,26
pace,26
dull,26
pick,26
roman,25
perfume,25
following,25
stocking,25
wide,25
empty,25
umbrella,25
slip,24
castle,24
mount,24
pull,24
fancy,24
murmur,24
playing,24
curve,24
evidence,23
ready,23
sideways,23
clear,23
burst,23
darling,23
pillar,23
chord,23
bound,22
noble,22
mercy,22
fit,22
awfully,22
effect,22
strand,22
term,22
box,22
board,22
nail,22
moving,21
damned,21
listening,21
plump,21
lump,21
italian,21
cock,21
wheel,21
hurry,20
cast,20
interest,20
curse,20
shining,20
gay,20
station,20
nurse,20
covered,20
whisper,20
nun,20
stage,20
sovereign,20
veil,20
perfect,20
paw,19
brief,19
wash,19
printed,19
wit,19
lifting,18
price,18
flash,18
stamp,18
calling,18
delight,18
cheer,18
nostril,18
trick,18
weather,18
whistle,18
arch,18
thrust,18
hurt,18
merry,18
welcome,18
service,18
maid,17
edge,17
couple,17
staircase,17
breaking,17
smoking,17
silently,17
clap,17
raise,17
oyster,17
cough,17
duck,17
lean,17
rag,17
garment,17
hose,17
marked,17
goodbye,17
repeated,17
pointed,16
goose,16
equal,16
fox,16
mortal,16
spectacle,16
altar,16
monk,16
keeper,16
drunken,16
shelter,16
moral,16
stream,16
mistake,16
ink,16
womb,16
bleeding,16
butcher,16
gesture,16
awhile,16
touching,16
ye,16
washing,16
splendid,16
fan,16
feed,16
leap,16
deed,15
salute,15
ruin,15
charming,15
acquaintance,15
dust,15
evidently,15
tour,15
needle,15
constellation,15
fallen,15
lace,15
crooked,15
sail,15
flying,15
twilight,15
narrator,15
eve,14
size,14
coincidence,14
blouse,14
limp,14
railing,14
calf,14
corpse,14
bitch,14
embrace,14
nod,14
sober,14
olive,14
bachelor,14
sorrow,14
bang,14
sport,14
level,14
shed,14
motion,14
hollow,14
