word,frequency
said,1208
bloom,1000
up,827
like,748
say,738
then,577
time,457
down,453
eye,447
after,428
off,370
back,365
good,331
head,252
round,244
long,240
make,218
don,204
voice,204
take,180
might,176
think,170
same,168
left,166
saw,160
water,157
lord,157
without,138
high,135
between,133
best,131
side,131
great,127
half,125
wait,124
dead,123
coming,122
air,120
kind,116
open,115
near,115
book,103
full,102
power,100
gold,93
bad,90
master,89
called,88
dear,83
part,81
private,77
saint,76
cry,76
forward,75
lay,73
boot,70
bob,68
number,67
fine,66
shoulder,65
talking,63
waiting,61
brown,59
tap,58
saying,58
large,57
blind,57
trouser,56
try,55
thou,55
live,54
present,53
quick,53
sitting,52
eh,52
passing,52
bridge,52
cap,51
mine,51
yellow,50
court,50
skin,49
pair,48
mirror,48
low,47
field,46
blessed,46
blaze,46
sailor,45
making,45
turning,45
per,44
inside,44
damn,44
least,44
reason,44
bar,44
above,43
prince,43
square,42
sound,42
crown,42
jack,42
whore,42
key,41
carriage,41
rich,41
row,40
holding,39
throw,39
wear,39
front,39
save,38
smiling,38
ground,38
slow,37
pity,37
double,36
reverend,36
singing,36
grave,36
sight,36
stuck,36
silence,35
raised,35
hate,33
paid,33
draw,33
opposite,33
handkerchief,33
fool,32
chair,32
aside,32
wet,32
usual,32
coffin,31
shut,31
brow,31
subject,31
common,31
space,31
rising,30
ward,30
coat,30
fashion,30
loudly,30
bank,30
hanging,29
knock,29
bend,29
loved,29
greek,28
shake,28
kidney,28
shell,28
bearing,27
railway,27
pin,27
kick,27
shout,27
bald,26
sigh,26
pace,26
mourning,26
dull,26
pick,26
bill,26
roman,25
following,25
perfume,25
empty,25
umbrella,25
stocking,25
wide,25
fancy,24
slip,24
murmur,24
castle,24
mount,24
playing,24
pull,24
curve,24
clear,23
burst,23
evidence,23
ready,23
chord,23
darling,23
sideways,23
pillar,23
board,22
strand,22
bound,22
fit,22
term,22
nail,22
box,22
noble,22
mercy,22
awfully,22
effect,22
moving,21
listening,21
italian,21
cock,21
damned,21
plump,21
wheel,21
lump,21
nurse,20
curse,20
hurry,20
shining,20
cast,20
covered,20
whisper,20
gay,20
station,20
interest,20
nun,20
sovereign,20
veil,20
perfect,20
stage,20
wit,19
wash,19
paw,19
printed,19
brief,19
weather,18
calling,18
delight,18
hurt,18
lifting,18
price,18
merry,18
welcome,18
flash,18
whistle,18
cheer,18
nostril,18
arch,18
thrust,18
stamp,18
trick,18
service,18
rag,17
maid,17
garment,17
silently,17
lean,17
edge,17
clap,17
raise,17
couple,17
oyster,17
staircase,17
hose,17
cough,17
breaking,17
marked,17
goodbye,17
smoking,17
duck,17
repeated,17
butcher,16
spectacle,16
shelter,16
gesture,16
pointed,16
altar,16
awhile,16
moral,16
touching,16
monk,16
goose,16
ye,16
equal,16
fox,16
keeper,16
washing,16
splendid,16
fan,16
feed,16
stream,16
mistake,16
ink,16
drunken,16
womb,16
leap,16
bleeding,16
mortal,16
twilight,15
deed,15
needle,15
salute,15
ruin,15
charming,15
acquaintance,15
tour,15
constellation,15
dust,15
fallen,15
narrator,15
lace,15
crooked,15
evidently,15
sail,15
flying,15
nod,14
shed,14
eve,14
motion,14
sober,14
olive,14
size,14
bachelor,14
coincidence,14
punch,14
blouse,14
sorrow,14
limp,14
lamb,14
bang,14
hollow,14
advertisement,14
bass,14
railing,14
calf,14
wire,14
sport,14
storm,14
dressing,14
corpse,14
shore,14
tin,14
inch,14
bitch,14
level,14
embrace,14
verse,14
glorious,13
working,13
wreath,13
sixteen,13
commercial,13
subsequently,13
wax,13
peak,13
scarcely,13
lodge,13
amount,13
weary,13
knight,13
protestant,13
type,13
raising,13
deceased,13
haven,13
stock,13
swiftly,13
lieutenant,13
parcel,13
loaf,13
inclined,13
blame,13
gown,13
avenue,13
musical,13
reply,13
produce,13
bat,13
sleeping,13
heir,13
dolphin,13
cabbage,13
mighty,12
upright,12
latin,12
hail,12
slender,12
murderer,12
split,12
initial,12
pier,12
mistress,12
machine,12
throne,12
blush,12
choir,12
canal,12
title,12
terrace,12
vein,12
canon,12
calm,12
faded,12
bargain,12
waiter,12
postcard,12
librarian,12
sweetheart,12
cane,12
cigar,12
hue,12
pub,11
rum,11
smooth,11
idiot,11
shoot,11
faithful,11
cutting,11
preceding,11
accordingly,11
circular,11
floating,11
jerk,11
swift,11
respectable,11
seed,11
twisted,11
wink,11
halt,11
lily,11
slim,11
sustained,11
bacon,11
chant,11
uniform,11
thunder,11
torn,11
eyelid,11
elder,11
ray,11
surface,11
bark,11
farewell,11
finished,11
discharge,11
accepted,11
fare,11
supper,11
sum,11
biscuit,11
dreadful,11
turf,11
pope,11
thin,11
closing,11
oath,11
rotten,11
stare,11

# 交集词汇数占词表总词数比例,9.35%
# 交集词频总和占文本总词次比例,8.46%
# 词表,COCA_20000_part2
